rem  00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19
data 16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16: rem 00
data 16,01,01,01,01,01,01,01,01,01,16,14,16,01,01,01,01,01,01,16: rem 01
data 16,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,12,16: rem 02
data 16,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,16,16,16: rem 03
data 16,16,16,16,16,16,00,00,00,00,00,00,00,00,16,16,16,42,40,16: rem 04
data 16,01,01,01,01,01,00,00,00,00,00,00,00,00,16,41,40,40,40,16: rem 05
data 16,00,00,00,00,00,00,00,00,00,00,00,00,00,16,00,00,49,00,16: rem 06
data 16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16: rem 07
data 255,255,255,255,0
rem  00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 00
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 01
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 02
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 03
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 04
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 05
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 06
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 07
data 255,255,255,255,0
rem  00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 00
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 01
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 02
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 03
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 04
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 05
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 06
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 07
data 255,255,255,255,0
rem  00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19
data 08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08: rem 00
